g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	p(6)	
11	44	0.0609343	83.8729	1528.07	1.15692	20162.5	196.033	221157	2390.05
11	119	0.10162	77.8946	634.335	1.0964	38123.8	364.927	456444	3635.23
11	126	0.110498	94.9936	2660.5	0.803838	71874.9	498.816	66236.3	4986.54
11	130	0.128797	194.69	628.992	1.09156	71692.4	494.789	66567.2	6478.97
11	122	0.129981	87.155	625.372	0.808149	72187.3	500.271	399635	6327.16
11	113	0.150567	94.7822	3111.29	0.81022	72035.8	497.406	65970.2	6428.75
11	128	0.152801	78.056	2652.71	0.809876	38009	556.197	508264	6472.24
11	124	0.160723	75.5675	1392.71	1.27945	72453.4	982.523	243922	2658.36
11	66	0.161369	77.7176	2648.99	0.808505	42128.4	553.03	462348	4995.91
11	117	0.183874	195.89	628.042	1.09203	37884.6	362.561	509776	6478.92
12	44	0.0585057	83.8709	1375.26	1.27261	22178.8	176.429	199041	2151.04
12	132	0.0955749	83.5829	1530.68	1.14852	37910.6	361.92	506166	6470.78
12	119	0.10162	77.8946	634.335	1.0964	38123.8	364.927	456444	3635.23
12	140	0.105314	98.6695	632.977	1.08464	71746.7	496.639	402618	6479.63
12	126	0.110498	94.9936	2660.5	0.803838	71874.9	498.816	66236.3	4986.54
12	139	0.122002	94.2001	621.409	0.801234	71272.2	295.185	402326	4978.84
12	130	0.128797	194.69	628.992	1.09156	71692.4	494.789	66567.2	6478.97
12	135	0.129231	77.9455	632.562	1.08864	72458	365.911	402847	3604.18
12	122	0.129981	87.155	625.372	0.808149	72187.3	500.271	399635	6327.16
12	113	0.150567	94.7822	3111.29	0.81022	72035.8	497.406	65970.2	6428.75
13	44	0.0465884	83.9162	1237.74	1.39987	24396.6	161.523	179137	1935.94
13	148	0.0939956	71.4053	2652.18	0.807935	71653.2	503.151	65622.7	4952.25
13	132	0.0955749	83.5829	1530.68	1.14852	37910.6	361.92	506166	6470.78
13	119	0.10162	77.8946	634.335	1.0964	38123.8	364.927	456444	3635.23
13	140	0.105314	98.6695	632.977	1.08464	71746.7	496.639	402618	6479.63
13	126	0.110498	94.9936	2660.5	0.803838	71874.9	498.816	66236.3	4986.54
13	145	0.111532	87.1598	628.748	1.08905	72039	497.07	399997	6354.73
13	150	0.120853	94.7113	637.142	0.802822	70845.2	295.526	399028	4948.15
13	139	0.122002	94.2001	621.409	0.801234	71272.2	295.185	402326	4978.84
13	130	0.128797	194.69	628.992	1.09156	71692.4	494.789	66567.2	6478.97
14	44	0.0453481	83.7716	1361.51	1.25988	26836.3	177.675	161223	2129.53
14	160	0.0563507	95.5849	638.592	0.808993	71124	296.816	65346.6	4923.71
14	158	0.0871467	74.8421	639.227	0.809096	71517.3	298.045	400630	4940.92
14	148	0.0939956	71.4053	2652.18	0.807935	71653.2	503.151	65622.7	4952.25
14	132	0.0955749	83.5829	1530.68	1.14852	37910.6	361.92	506166	6470.78
14	119	0.10162	77.8946	634.335	1.0964	38123.8	364.927	456444	3635.23
14	140	0.105314	98.6695	632.977	1.08464	71746.7	496.639	402618	6479.63
14	126	0.110498	94.9936	2660.5	0.803838	71874.9	498.816	66236.3	4986.54
14	155	0.111502	130.731	617.591	0.80165	71060.1	493.329	402150	6320.59
14	145	0.111532	87.1598	628.748	1.08905	72039	497.07	399997	6354.73
15	44	0.0356304	75.3944	1225.36	1.38587	29519.9	168.009	145101	2265.36
15	160	0.0563507	95.5849	638.592	0.808993	71124	296.816	65346.6	4923.71
